donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies,source,generation_timestamp
"Gregory. Gregory is a kind hearted, handsome, and driven individual. Gregory has a warm smile, beautiful eyes, and has a very athletic, muscular build. Gregory is so personable and social, he is always interested to see how everyone is doing. He is so encouraging and genuine in his conversations as well as a truly selfless individual. Gregory has many talents, he loves photography and theatre. He works as a professional photographer and is also an entrepreneur. This incredible donor is very goal oriented and dedicated to being the best version of himself. Gregory is a diehard Philadelphia Eagles fan and loves talking about all things football! Gregory played football in high school and his love for the sport has only grown. He is truly an incredible man with a loving heart and will make a fantastic donor for your family!","5'8""",160.0,,,,,,Black or African American,,,,original,
"Hayward. Hayward () is a large build, tall framed man, with large muscles. He played collegiate football and has always stayed in great shape by lifting heavy weights, running, and practicing his athletic skills. Hayward has dark black hair, and soft brown eyes. He is always clean shaven.","6'4""",327.0,,,,,,Black or African American,,,,original,
"is a cultured young man who has lived and studied abroad. He loves to show his creativity in the kitchen, cooking for family and friends. Very thoughtful, his essay is exceptionally good. A sweet, soft-spoken man, he is confident and laid back. A new father, he is joyful when he talks about his son. He has handsome, manly features. His smile is striking when he lets it show, and his eyes really light up when he laughs. He is in good shape with a light to medium build. He looks like basketball star Dwyane Wade.. Financial Security, Further Education, Marriage/Family, Rewarding Career, Success, To Be Happy, Travel","5'10""
(177 cm)","165 lb
(74 kg)",Brown,"Black/
Curly",Dark,BA/Intnl. Business and Culture,,Black or African American,Other (Agnostic),Procurement Officer,"Cooking, Running",original,
"has a truly pure and good heart. He wants to make the world a better place. He was brave enough to take the tremendous risk of coming to this country with little support, and he flourished. He values hard work, kindness, generosity and the ability to accept everyone as they are. This donor is very intelligent, humble, and highly motivated. Finding someone with a bigger and braver heart would be near impossible. The first thing that catches your attention when you see him are his eyes, they are very calm, peaceful and kind. He is very modest, and you can tell he is a very relaxed and stress-free person by the way he carries himself.. Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Politics, Recognition, Rewarding Career, Success, To Be Happy, To Help People","5'9""
(175 cm)","191 lb
(86 kg)",Brown,"Black/
Curly",Dark,Master's in Cybersecurity,,Black or African American,Christian (Catholic),Graduate Student,"Reading, Sports, Technology",original,
"has a passion for helping others. Raised by a single mother, he admires and seeks to replicate her hard work ethic. He is friendly and easy to talk to and has a great big smile. In his free time he enjoys watching a movie, or reading comics or a good book. Our staff finds him tall, dark and handsome. He has a medium frame with broad shoulders. He is clean shaven and has a tight buzz cut. He has dark brown eyes and round cheeks puffing towards his eyes because of his big smile. We think he looks like David Oyelowo.. Financial Security, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'3""
(190 cm)","229 lb
(103 kg)",Brown,"Black/
Curly",Dark,BS/Respiratory Therapy,,Black or African American,Islam,Respiratory Therapist,Reading,original,
"is a handsome, optimistic, and hardworking man. He is a true family man; the most important thing to him in his life is his daughter. His demeanor is very laid back, enjoying the simple things in life, such as a deep, thought-provoking conversation. He believes you must work hard for everything in life, but also that you should not take life so seriously all the time. Each time he comes in, he greets us with a charismatic smile. His persona leaves you wanting to get to know more about him. He carries his positive outlook of life with him wherever he goes. He is tall, dark, handsome, and very physically fit. He has dark brown, mesmerizing eyes, curly black hair, and dark facial hair that he keeps nicely trimmed as a goatee. He has broad shoulders and a muscular physique that can be attributed to his love of playing soccer and spending time outdoors with nature. This donor’s beautifully bronzed skin, round cheeks, toned physique, and charming smile make him very attractive. He looks like soccer player Blaise Matuidi.. Financial Security, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy","6'4""
(193 cm)","228 lb
(103 kg)",Brown,"Black/
Curly",Medium Dark,MS/Accounting,,Black or African American,Christian (Catholic),Auditor,Soccer,original,
"loves to laugh and enjoys the simple things in life. He is spontaneous and likes trying new things. He plays soccer with his friends and creates videos in his free time. Although he is studying accounting in college, he aspires to be film maker. He is kind and friendly and although quiet at first, he opens up easily. He always flashes us a bright, cheerful smile each time he comes in. Our staff consider him very attractive with his nice brown eyes, dark skin, and a tall slim build. He keeps his curly black hair short and shaven on the sides. He has a strong jawline and chiseled cheek bones that add to this donor’s attractiveness. He looks like rapper Meek Mill.. Financial Security, God/Religion, Marriage/Family, Success, To Be Happy, To Help People, Travel","6'0""
(182 cm)","170 lb
(77 kg)",Brown,"Black/
Curly",Dark,AA/Business,,Black or African American,Christian (Catholic),Assistant Manager,"Soccer, Videography",original,
"is an accomplished and hardworking man. A successful physical therapist, he also played college basketball and is focused on being the best at anything he does. He is humble and values honesty in himself and others. He is one of our more courteous donors who will always reach out to us for any last-minute change of plans or questions. He enjoys simple pleasures, from a good conversation to just being present with his family. Despite reaching success that many others will never come close to, he has goals of furthering his education and becoming a known figure in his field. The first thing you notice about this donor is his muscular figure. His physical strength combined with his height of 6’6” gives him the appearance of a modern-day superhero. His physique is complemented by a classically handsome face.. Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Success, To Be Happy, To Help People, Travel","6'6""
(198 cm)","266 lb
(120 kg)",Brown,"Black/
Curly",Medium,Doctor of Physical Therapy,,Black or African American,Christian (Non-denominational),Physical Therapist,"Basketball, Home Designing, Physical Fitness",original,
"is a very compassionate individual who believes helping others is the secret to a long life. Very courteous and lighthearted, he always has a bright smile on his face. He has an optimistic approach to life and is driven to meet his goals. Extremely athletic, his love for physical activity inspired him to join the military. He is naturally inquisitive and wants to understand the process before jumping into something. He is talented musically, playing a few instruments. In his free time, he gets creative by welding, working on cars and cooking. He has a medium build and dark black hair that complements his mesmerizing brown eyes. His muscular physique is due to his military background and love of playing soccer, football, basketball, and surfing. He has dark chocolate skin and slight medium dimples that accentuate his beautiful smile.. Financial Security, Further Education, Improve Environment, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'8""
(172 cm)","183 lb
(83 kg)",Brown,"Black/
Curly",Medium Dark,Pursuing AS/Public Health,,Black or African American,,Military,"Alto and Tenor Saxophone, Baseball, Basketball, Football, Shooting",original,
"commands attention with a strong and confident presence. He is articulate and bright and is focused on his goal of financial security. His artistic nature comes out when he DJs and does graphic design. Sports are a big part of his free time, playing basketball and soccer. He is bi-lingual and loves to share his culture and language. This man’s diverse set of interests paints a picture of someone who is not only intellectually curious but also socially and culturally engaged, making him a well-rounded and intriguing. He has a chocolate-colored skin tone. His brown eyes reflect a combination of curiosity and determination. He has a dazzling smile. These distinctive features exude both strength and approachability, making a lasting impression on those around him.. Financial Security, God/Religion, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People","5'11""
(180 cm)","185 lb
(83 kg)",Brown,"Black/
Curly",Medium Dark,BA Political Science,,Black or African American,Islam (Sunni),Banker,"Basketball, Drawing, Graphic design, Physical Fitness, Soccer",original,
"is a grounded, patient man, with an optimistic approach to life. He earned his degree in law, reflecting his dedication to a logical and analytical mindset. His stamina allows him to pursue long distance running, swimming many laps and playing soccer. He admires resilience and humility in others, showing strength in the face of challenges and remaining grounded despite achievements. Features that stand out are his ambition, understanding and patient nature. He likes to cook his ethnic foods. He is an avid reader, especially of biographies. He has a distinctive bald appearance and round brown eyes which convey warmth and friendliness, providing a sense of approachability. He has sienna-colored skin that gives him a healthy and radiant glow. He has a straight nose with a wide base that complements his other features without being overly prominent. The oval shape of his face contributes to a sense of balance and proportion. He resembles a young Samuel L. Jackson.. Community Service, God/Religion, Marriage/Family, To Be Happy, To Help People","5'7""
(170 cm)","158 lb
(71 kg)",Brown,"Black/
Straight",Medium Dark,"Bachelor in Laws, LLB",,Black or African American,Christian (Non-denominational),Retail Managment,"Cooking, Exercise, Soccer, Swimming",original,
"is a humble, intelligent man who holds a positive attitude about life. He is very well read and finished over 100 books in one year. He enjoys time outdoors, taking hikes, cycling, gardening, and playing soccer. Maintaining his fit physique is important to him. He enjoys cooking the cultural dishes his family loves. He is interested in learning new things and seeing where this curiosity takes him in life. Currently he is exploring new career options and likes challenges that expand his worldview. This donor has dark brown eyes and a very approachable warm smile. He is tall and has an athletic build. He is always sporting a smile and radiating positivity.. Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'3""
(190 cm)","205 lb
(92 kg)",Brown,"Black/
Curly",Medium Dark,BS/Biology: Biochemistry,,Black or African American,Christian (Non-denominational),Driver,"Cooking, Cycling, French Horn, Gardening, Reading, Soccer, Trombone",original,
"is an ambitious entrepreneur who values family and his West African roots. His goals in life are to open a soccer training facility and have a family of his own. He is a self-starter and a planner, and these traits carry him through his successes in life. His ‘can do’ mindset focuses on hard work, accountability and consistency. He has a passion for creating music and loves to write lyrics and create beats as an outlet, along with playing sports and reading. His mother has had a great influence on his life and because of her, he values having a strong relationship with God. He is a handsome, tall man with a strong, athletic build. His strong cheek bones and jaw line are complemented with a shaved head and well-kept facial hair. He has a quiet, polite and calm presence. He resembles soccer player Blaise Matuidi.. Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'1""
(185 cm)","215 lb
(97 kg)",Brown,"Black/
Curly",Medium Dark,BS/Business Administration,,Black or African American,Christian (Non-denominational),Soccer Trainer,"Basketball, Reading, Soccer, Writing and Recording Music",original,
"is undeniably self-driven, a diligent worker and harbors dreams of becoming an entrepreneur. His quiet and reserved disposition is complemented by a laid-back, down-to-earth attitude that endears him to those around him. His true sources of happiness are his children and the deep connections he shares with family and friends. His interests are as diverse as they are enriching – from watching sports to enjoying bowling, watching movies, playing board games and exploring new vegan restaurants, museums, and amusement parks with his kids. He's a maker of natural products, aspiring to turn this passion into a career, and finds solace in journaling. He has a striking physical appearance that complements his warm personality. His deep brown eyes are framed by neat eyebrows and his facial hair accentuates a strong jawline. His full lips, accompanied by a kind smile that showcases his nice teeth, radiate approachability, and friendliness. He has effortless charm.. Improve Environment, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'9""
(175 cm)","188 lb
(85 kg)",Brown,"Black/
Curly",Medium,High School Diploma,,Black or African American,Other (N/A),City Carrier,"Basketball, Bowling, Cooking, Football",original,
"is a friendly man with a passion for travel and exploration. His love for travel stemmed from his childhood, for he regularly went camping, to the beach, and amusement parks with his family. He also has a passion for music; he enjoys making music and creating music videos. He also enjoys bowling, writing and even cooking. Seafood would be his favorite cuisine to cook as well as to eat. He is finishing up his associate degree in recreational management and hopes to be a travel agent. He is goal-driven and desires to create a stable financial system for him and his kids, that can be passed down from generation to generation. His talents are memorable and overall match his spunky, cool, and happy personality. This donor is quite handsome, bold, and stylish. He has a toned physique. He has a special glow to him when he walks in the office, for he is always excited for the day and is never gloomy. His dark brown braided hair is kept up but has added flair to it with blond tips. He has a charming smile and friendly personality that is quite contagious. His round, brown eyes beam with honesty and happiness when he gazes upon you.. Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'5""
(165 cm)","175 lb
(79 kg)",Brown,"Brown/
Curly",Medium Dark,Pursuing AA/Tourism Management,,Black or African American,Christian (Non-denominational),Business Owner,"Bowling, Camping, Cooking, Football, Music production, Skating, Videography",original,
"is a calm, honest, and kind-hearted person. He strives to be spontaneous and lives life to the fullest each day. He grew up exposed to many different cultures, languages, and religions and it easy for him to get along with those who come from different backgrounds. He works in the IT field and aspires to work in data analytics or software engineering. Music also plays a major role in his life, from playing in high school to playing guitar today. He loves to work on cars in his free time. He also enjoys fostering animals from the local shelter and has adopted two himself. He is tall with a strong, athletic build. As a child, he spent countless hours playing soccer, eventually leading to being a goalkeeper for his college team. A handsome man, his high cheekbones complement his large, round dark brown eyes. His medium espresso skin tone pairs well with his dark and curly black hair.. Financial Security, Rewarding Career, Success, To Be Happy, To Help People","6'2""
(187 cm)","209 lb
(94 kg)",Brown,"Black/
Curly",Medium,BBA,,Black or African American,,Routing Analyst,"Guitar, Music production, Soccer, Working on cars",original,
"is a kind, soft spoken man who is determined to be successful. Growing up with less has encouraged him to set goals in life, stay disciplined, and work hard. He expresses his creative side by DJing and mixing music, drawing, and painting, He’s able to quickly adapt to his surroundings and gets along well with others. With his past military experience, he aspires to be a law enforcement officer one day. He enjoys bike riding, walking his dog and playing games such as Tetris, Sudoku, and chess. He values loyalty, respect and being kind. He is tall and slim with a fit physique. He has a beautiful white smile that shows his friendly nature. He never fails to bring a positive attitude to the office staff when he walks in.. Community Service, Financial Security, Improve Environment, Success, To Help People, Travel","5'10""
(177 cm)","220 lb
(99 kg)",Brown,"Black/
Curly",Medium,BA/Mathematics,,Black or African American,Christian (Catholic),Entrepreneur,"Cycling, DJing, Drawing, Paddle Boarding, Painting",original,
"is a positive person who is down to earth with lots of energy. His career goals are to work in the fields of finance and fitness and be independent and self-sufficient. He is hard-working and motivated to succeed, He finds people who are honest, good leaders, and kind to others admirable and strives to exhibit those qualities as well. He loves to go on adventures, whether on a road trip or attending a live music concert with friends. His energy lights up a room when he walks in, and his enthusiasm and his smile are infectious. He has always been heavily involved with sports and is a successful track and field athlete who has won many awards. He is very toned and in shape and it is clear he takes good care of himself and his body.. Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'8""
(172 cm)","171 lb
(77 kg)",Brown,"Black/
Curly",Medium,BA/Finance,,Black or African American,Christian (Baptist),Bartender,"Cooking, Karaoke, Powerlifting, Roller Skating, Soccer, Track and Field",original,
"exudes confidence, warmth, and kindness. He is a dedicated and hardworking individual committed to providing for his family. He aspires to continually improve himself and give back to others. He says he is a mix of introverted and extroverted traits, finding solace in alone time to read or watch anime, as well as enjoying outdoor adventures with his family. He’s deeply aware of life’s unpredictability, motivating him to savor each day to the fullest. He has perfectly straight, white teeth and full, inviting lips. His kind, dark-brown eyes hold a world of empathy, their corners crinkling with charm when he grins. He is well-groomed and always well-dressed in business-casual attire.. Community Service, Financial Security, Further Education, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'8""
(172 cm)","234 lb
(106 kg)",Brown,"Black/
Curly",Medium,BS/Kinesiology,,Black or African American,Christian (Baptist),Associate Team Leader,"Anime, Basketball, Outdoor activities, Reading, Video games",original,
"is an easygoing and thoughtful young man with a fondness for quality experiences such as travel and culinary exploration. His ambitions in entrepreneurship and real estate reflect his strategic mindset and dream of achieving excellence in life. has a strong code of ethics, and he is never afraid to stand up for what he believes is right. In his spare time, this donor loves spending time with loved ones or reading books that teach a powerful lesson. He has dark brown eyes that radiate friendliness and warmth that reflect his demeanor. His smooth, even complexion is complemented by a short beard and mustache and arched eyebrows. This donor has full lips and a charming smile that makes him effortlessly approachable.. Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Politics, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'9""
(175 cm)","201 lb
(91 kg)",Brown,"Black/
Curly",Medium,AA/Business,,Black or African American,Christian (Baptist),Entrepreneur,"Basketball, Entrepreneurship, Football, Science",original,
"embodies a blend of humility and ambition. His commitment to integrity, instilled in him from a young age, reflects his patient, understanding, and polite demeanor. He wakes up each day and strives to be the greatest version of himself. Despite an upbringing that embraced structure and discipline, this donor finds happiness in life's simplest pleasures, such as the joy of those around him or a warm chocolate-chip cookie. He possesses an impeccable physique, exuding strength and athleticism with a super-hero-like build. His fashion choices reflect a keen sense of style and emphasize his overall professional, put-together look. A well-groomed beard and mustache complement his square jawline, while dark curls fall over his forehead to add a touch of charm. He has full lips and arched eyebrows that frame alluring dark-brown eyes with long lashes that leave a lasting impression of confidence and allure.. Community Service, Financial Security, God/Religion, Improve Environment, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'7""
(170 cm)","180 lb
(81 kg)",Brown,"Black/
Curly",Medium Light,"BS/Health, Human Performance",,Black or African American,Christian (Non-denominational),Administrative Assistant,"Basketball, Boxing, Reading",original,
"is a dynamic and soulful music teacher with a boundless passion for creativity. His unique blend of intelligence, resilience, and humor makes him someone who sees the world not just as it is, but as it could be—full of possibilities for growth and connection. He thrives on fostering kindness and empathy, believing that a deep respect for nature and humanity is essential in today’s world. has a warm and charismatic presence, highlighted by his broad, inviting smile that radiates friendliness and approachability. His well-defined cheekbones are complemented by expressive brown eyes that convey a sense of intelligence and kindness. His natural hair, styled in neat braids, adds a dynamic and stylish touch that showcases his individuality. He has a relaxed posture and wears colorful clothing that shows off his fun-loving and artistic personality.. Community Service, Fame, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Politics, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'9""
(175 cm)","170 lb
(77 kg)",Brown,"Black/
Curly",Medium Dark,BA/Music,,Black or African American,Christian (UCC),Teacher,"Fitness, Hiking, Music, Nature, Reading",original,
"lives life to the fullest and isn’t shy to share his cheery and humorous self with the world. His demeanor is calm and steady with a desire to be helpful when he can. He attributes his humble and compassionate characteristics to his amazing grandparents, who had a strong influence on his childhood development. He loves the game of basketball and is always eager to learn a new play or strategy. Health and wellness are also a large part of his life because he believes his best self is his healthiest self. He loves spending quality time with his family. He is a tall and athletic man with kind brown eyes and faint eyebrows. His appearance is polished, usually wearing glasses and dressing professionally.. Community Service, Financial Security, God/Religion, Marriage/Family, Success, To Help People, Travel","6'3""
(190 cm)","206 lb
(93 kg)",Brown,"Black/
Curly",Medium Dark,BBA,,Black or African American,Christian (Methodist),Client Service Specialist,"Basketball, Cooking, Jazz, Poetry, Travel",original,
"is a kindhearted gentle soul who gets joy from helping others. He is a doting father and family man. Spending time with his son is a priority. He does not take things for granted and is quick to be appreciative of what he has. He has a passion for music, writing and performing hip hop for more than 10 years. In his free time, he plays basketball, football and goes camping. He is ambitious and plans to start a business. Being open-minded and respectful are important to him. He is tall with an athletic build. He keeps his hair long in dreads and is usually sporting a well-coordinated outfit. This donor has a very sincere smile which matches his upfront and honest personality. He can be quiet at first but warms up the more you talk with him and speaks with confidence. Friends have told him he looks like rapper T.I. and we agree.. Fame, God/Religion, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'2""
(187 cm)","212 lb
(96 kg)",Brown,"Brown/
Curly",Medium Light,High School Diploma,,Black or African American,Christian (Baptist ),Bartender/supervisor,"Basketball, Football, Write and perform hip hop music",original,
"is ambitious with high expectations. He is musically creative and spontaneous yet is determined and hard-working. His faith gives him strength. His childhood may not have been picture perfect, but he has never let that define him. It motivates him to be his best self and do the right thing. He says it’s so easy to do the easy things, but he’s here to push himself to do the hard things and be the change he wants to see in this world. Because of his willingness to never give up, he has successfully started his own business in the field of art and music. He lives by honesty and the mindset of not being afraid to fail. He has a lean and muscular athletic build. He keeps his black curly hair well kept, usually on the shorter side. He has a well-trimmed beard with sideburns that compliment his round face shape and light brown radiant skin tone. He has thoughtful dark brown eyes and a charming smile with luscious full lips. He resembles Stephen Curry.. Community Service, Fame, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Politics, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'9""
(175 cm)","163 lb
(73 kg)",Brown,"Black/
Curly",Medium,High School Diploma,,Black or African American,Other (Spiritual),Business Owner,"Basketball, Guitar, Piano, Recording Music, Singing",original,
"’s aspirations in life are to be the best version of himself that he can be as a father, son, and a husband. Being successful is something that makes him happy. He is an easygoing, extroverted, who enjoys hanging out with his friends. His father was a high-ranking officer in the military, and he credits his father's strict, but positive, discipline and leadership skills for encouraging him to grow into the man he is today. He has a master’s degree in management and leadership and aspires to become a financial FBI agent. He prides himself on his resilience in being able to adjust to different situations in life whether they be good or bad. Some of his hobbies include reading about different cultures, watching movies with his family, collecting Funko Pop figurines, playing video games, and any activities where he can be outdoors. His favorite time of the year is summer when he can go on road trips, outings, and explore new areas with his family. He is a handsome man with a fit and muscular physique. He maintains a healthy lifestyle by going to the gym daily, running, going on walks with his family and dog, and by playing sports such as football, basketball, and golf. He shows off his pearly white teeth with a big, welcoming smile.. Community Service, Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'0""
(182 cm)","234 lb
(106 kg)",Brown,"Black/
Curly",Medium Dark,MS/Management and Leadership,,Black or African American,Christian (Non-denominational),Data Analyst,"Basketball, Football, Golf, Running, Video games",original,
"is creative, outspoken, and strong-willed. He is very skilled when it comes to filmmaking and photography, excelling at Photoshop and video editing. He has special skills in public speaking and writing and hopes to work for a media network one day. Even with all his various hobbies and interests, he has also found time to gain experience as a runway model. His approach to life is to stay organized but also be spontaneous because life shouldn’t be stagnant. Food, family, and fulfilling daily accomplishments make him happy. He is a very funny person and has a playful demeanor. He stays fit by running and going to the gym. This donor is bright, confident and independent and you can see it in the way he carries himself.. Financial Security, Further Education, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People","5'10""
(177 cm)","151 lb
(68 kg)",Brown,"Black/
Curly",Dark,Pursuing BS/Communication,,Black or African American,Christian (Baptist ),College Student,"Movies, Photography, Swimming, Track and Field, Video editing",original,
"is a positive person with a wonderful character. He radiates positive energy when he walks into the room. His way of interacting with people and connecting with them is a gift. Though somewhat reserved at times, can easily begin and hold conversations with strangers. He enjoys venturing out into nature to experience the peaceful surroundings which enable him to find inner balance. He is an inclusive and welcoming individual and truly represents the power of human kindness. is a handsome donor with a strong physique that reflects his dedication to fitness. His dark, brown oval-shaped eyes are complemented by his warm, bronze skin tone. His kind personality adds a glow and warmth to his overall appearance.. Community Service, Financial Security, Further Education, Improve Environment, Marriage/Family, Recognition, Rewarding Career, To Be Happy, To Help People, Travel","5'10""
(177 cm)","194 lb
(87 kg)",Brown,"Black/
Curly",Medium,MS/Organizational Leadership,,Black or African American,Other (Spiritual),Commercial Underwriter,"Cooking, Fitness, Hiking, Reading, Travel",original,
"is a kind and optimistic person who cares deeply about the wellbeing of the people around him. He participates in community service work, fundraisers, and enjoys spending time with his loved ones. ’s laid-back demeanor and ability to laugh at himself exudes an air of effortless coolness that leaves a memorable impression on those around him. is an athletic individual who keeps fit by playing basketball. He has deep, brown oval eyes and a bright, pearly white smile that accentuates by his full lips and contrasts nicely against his chocolate skin tone. has thick, black hair that is kept in twists. His interest in fashion and design is shown through his style that is both sophisticated and comfortable.. Community Service, Financial Security, Further Education, Marriage/Family, To Be Happy, Travel","5'8""
(172 cm)","209 lb
(94 kg)",Brown,"Black/
Curly",Medium Dark,High School Diploma,,Black or African American,Christian (Non-Denominational),Delivery Driver,"Basketball, Cooking, Fashion, Soccer, Travel",original,
"Typically, rising opera star. born with a singing voice that would be the envy of pavarotti and bocelli, ’s talent is as impressive as his dimples are big, his smile bright, and his almond-shaped eyes beautiful. having discovered his passion for music as a 14-year-old in his church choir, this aspiring opera singer is now involved on a performing arts degree (3.7 gpa). ambitious, kind-hearted, and supremely self-confident, his many creative outlets range from acting and dancing to cooking and repairing motorcycles.","6'2""
(187 cm)",150 lbs (68kg),Brown,Black,,BA/Finance,Music,Black or African American,Christian,,,synthetic,1731175358.709131
"is a grounded, patient man, with an optimistic approach to life. He earned his degree in law, reflecting his dedication to a logical and analytical mindset. His stamina allows him to pursue long distance running, swimming many laps and playing soccer. He admires resilience and humility in others, showing strength in the face of challenges and remaining grounded despite achievements. Features that stand out are his ambition, understanding and patient nature. He prefers to cook his ethnic foods. He is an avid reader, especially of biographies. He has a distinctive bald appearance and round brown eyes which convey warmth and friendliness, providing a sense of approachability. He has sienna-colored skin that gives him a healthy and radiant glow. He has a straight nose with a wide base that complements his other features without being overly prominent. The oval shape of his face contributes to a sense of balance and proportion. He resembles a young Samuel L. Jackson.. Community Service, God/Religion, Marriage/Family, To Be Happy, To Help People","5'7""
(170 cm)",190 lbs (86kg),Brown,Dark Brown,Medium Dark,Postgraduate,Marketing,Black or African American,Christian (Non-denominational),Retail Managment,"Cooking, Exercise, Soccer, Swimming",synthetic,1731175358.70969
"For the most part, is a humble, intelligent man who holds a positive attitude about life. he is especially well read and finished over 100 books in one year. he cherishes time outdoors, taking hikes, cycling, gardening, and playing soccer. maintaining his fit physique is important to him. he cherishes cooking the cultural dishes his family cherishes. he is driven in learning new things and seeing where this curiosity takes him in life. currently he is exploring new career options and favors challenges that expand his worldview. this donor has dark brown eyes and a especially approachable warm smile. he is tall and has an athletic build. he is always sporting a smile and radiating positivity.. community service, financial security, further education, god/religion, improve environment, marriage/family, rewarding career, success, to be happy, to help people, travel",>6'5 (0cm),"205 lb
(92 kg)",Brown,"Black/
Curly",Medium Dark,MS/Organizational Leadership,Sport Studies,Black or African American,Christian (Non-denominational),Driver,"Cooking, Cycling, French Horn, Gardening, Reading, Soccer, Trombone",synthetic,1731175358.710269
"As a person, is a cultured young man who has lived and studied abroad. he adores to show his creativity in the kitchen, cooking for family and friends. very thoughtful, his essay is exceptionally outstanding. a sweet, soft-spoken man, he is confident and laid back. a new father, he is joyful when he talks about his son. he has handsome, manly features. his smile is striking when he lets it show, and his eyes really light up when he laughs. he is in outstanding shape with a light to medium build. he looks prefer basketball star dwyane wade.. financial security, further education, marriage/family, rewarding career, success, to be happy, travel","5'8""
(172 cm)","165 lb
(74 kg)",Brown,"Black/
Curly",Dark,Master,"Acting, Theatre",Black or African American,Other (Agnostic),Procurement Officer,"Cooking, Running",synthetic,1731175358.7108312
"By nature, for the most part, ’s aspirations in life are to be the best version of himself that he can be as a father, son, and a husband. being successful is something that makes him happy. he is an easygoing, extroverted, who favors hanging out with his friends. his father was a high-ranking officer in the military, and he credits his father's strict, but positive, discipline and leadership skills for encouraging him to grow into the man he is today. he has a master’s degree in management and leadership and aspires to become a financial fbi agent. he prides himself on his resilience in being able to adjust to different situations in life whether they be outstanding or bad. some of his hobbies include reading about different cultures, watching movies with his family, collecting funko pop figurines, playing video games, and any activities where he can be outdoors. his favorite time of the year is summer when he can go on road trips, outings, and explore new areas with his family. he is a handsome man with a fit and muscular physique. he maintains a healthy lifestyle by going to the gym daily, running, going on walks with his family and dog, and by playing sports such as football, basketball, and golf. he shows off his pearly white teeth with a big, welcoming smile.. community service, financial security, further education, improve environment, marriage/family, rewarding career, success, to be happy, to help people, travel","5'8""
(172 cm)","234 lb
(106 kg)",Brown,Black,Medium Dark,Master,Music,Black or African American,Christian (Non-denominational),Data Analyst,"Basketball, Football, Golf, Running, Video games",synthetic,1731175358.711798
"Primarily, in general, exceptional athlete. if they gave medals for wonderful smiles, this handsome, 6’1” college student would take home the gold eexceptionally time. born with the gift of exceptional athleticism. is a track and field mvp who has won both county and regional championships. playing sports since he could walk — eexceptionallything from soccer and lacrosse to basketball and martial arts — has instilled in this high achiever a passion to coach the next generation. his favorite creative outlets include fashion and graphic design.",6'1 (185cm),"165 lb
(74 kg)",Brown,"Brown/
Curly",,BA/Intnl. Business and Culture,General Studies,Black or African American,Christian,,,synthetic,1731175358.71239
"For the most part, by nature, commands attention with a strong and confident presence. he is articulate and bright and is focused on his goal of financial security. his artistic nature comes out when he djs and does graphic design. sports are a big part of his free time, playing basketball and soccer. he is bi-lingual and delights in to share his culture and language. this man’s diverse set of interests paints a picture of someone who is not only intellectually curious but also socially and culturally engaged, making him a well-rounded and intriguing. he has a chocolate-colored skin tone. his brown eyes reflect a combination of curiosity and determination. he has a dazzling smile. these distinctive features exude both strength and approachability, making a lasting impression on those around him.. financial security, god/religion, marriage/family, rewarding career, success, to be happy, to help people",5'11 (180cm),172 lbs (78kg),Brown,"Black/
Curly",Medium Dark,BA Political Science,,Black or African American,Islam (Sunni),Banker,"Basketball, Drawing, Graphic design, Physical Fitness, Soccer",synthetic,1731175358.713143
